Name of the source,Country,Web link,Facebook link,YouTube link,Twitter Link,Source Type,Standards,Ownership Location,Political Leaning,Electoral Leaning,Geo-Political,Readership,Longevity,,,,,,,,,,,,,
Epoch Times Romania,RO,https://epochtimes-romania.com/,https://www.facebook.com/epochtimesro/,https://www.youtube.com/user/TheEpochTimesRomania,,Private Media,,Foreign,,,,,,,,,,,,,,,,,,
Sputnik,RO,https://sputnik.md/,https://www.facebook.com/sputnikmdro/?ref=br_rs,https://www.youtube.com/channel/UCPEI0-ppgbW51ziRMTejCdw,,State Media,Questionable,Foreign,N/A,N/A,Pro-Russia,Unknown,Well established (>10 years old),,,,,,,,,,,,,
Romania Online,RO,http://rol.ro/,https://www.facebook.com/ROL.ro/,https://www.youtube.com/channel/UCqr5w50iZ_qVmAw5OSTEVeQ,,,Questionable,,,,,,,,,,,,,,,,,,,
Nașul TV,RO,https://www.nasul.tv/,https://www.facebook.com/Nasul.tv/,https://www.youtube.com/channel/UCMFV995cxHmkWoFSPx5WiiA,,,Questionable,,,,,,,,,,,,,,,,,,,
Activenews,RO,https://www.activenews.ro/,https://www.activenews.ro/,https://www.youtube.com/user/ActiveNewsRomania,,,Questionable,,,,,,,,,,,,,,,,,,,
fluierul.ro,RO,http://fluierul.ro/index.jsp,https://www.facebook.com/FluierulRomania/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
vremuritulburi.com,RO,https://vremuritulburi.com/,https://www.facebook.com/Vremuri-tulburi-1482860082000139/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
reporteronline.net,RO,http://reporteronline.net/,N/A,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
nationalisti.ro,RO,http://www.nationalisti.ro/,https://www.facebook.com/romania14,https://www.youtube.com/channel/UCdOZZ6WLzH-NSUboaMt7bLQ,,,Questionable,,,,,,,,,,,,,,,,,,,
stiripesurse.ro,RO,https://www.stiripesurse.ro/,https://www.facebook.com/stiripesurse.ro,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
comisarul.ro,RO,https://www.comisarul.ro/,https://www.facebook.com/comisarul.ro,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
napocanews.ro,RO,http://www.napocanews.ro/,https://www.facebook.com/NapocaNews/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
flux24.ro,RO,https://www.flux24.ro/,https://www.facebook.com/flux24/,https://www.flux24.ro/,,,Questionable,,,,,,,,,,,,,,,,,,,
inpolitics.ro,RO,http://inpolitics.ro/,https://www.facebook.com/inpolitics.ro/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
dcnews.ro,RO,https://www.dcnews.ro/,https://www.facebook.com/dcnews.ro/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
criticatac.ro,RO,http://www.criticatac.ro,https://www.facebook.com/criticatac/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Psnews.ro,RO,https://psnews.ro/,https://www.facebook.com/putereastirilor/,,,,Questionable,,,,,,,,,,,,,,,,,,,
luju.ro,RO,https://www.luju.ro/,https://www.facebook.com/Lumea-Justitiei-109709519102987/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
alternativenews.ro,RO,https://www.alternativenews.ro/,https://www.facebook.com/alternativenewsro/,https://www.youtube.com/channel/UCDXqokX1TIuObbiQ9Db2wgg,,,Questionable,,,,,,,,,,,,,,,,,,,
stiri-extreme.ro,RO,https://www.stiri-extreme.ro,https://www.facebook.com/stiriextreme2/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
efemeride.ro,RO,https://www.notabn.ro,https://www.facebook.com/nota.bn/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
inliniedreapta.ro,RO,http://inliniedreapta.net/,https://www.facebook.com/InLinieDreapta/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
caplimpede.ro,RO,https://caplimpede.ro/,https://www.facebook.com/CapLimpedeRomania/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Q Magazine,RO,https://www.qmagazine.ro/,https://www.facebook.com/qmagazineromania/,https://www.youtube.com/channel/UCPknB_WFxFBJEwvk1KJrxmA,,,Questionable,,,,,,,,,,,,,,,,,,,
Podul,RO,https://www.podul.ro/,https://www.facebook.com/PodulRo/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Socialistul,RO,http://www.socialistul.ro/,https://www.facebook.com/socialistul/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Făclia,RO,http://ziarulfaclia.ro/,https://www.facebook.com/facliadecluj/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Foaia Națională,RO,https://foaienationala.ro/,N/A,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Basilica,RO,https://basilica.ro/,https://www.facebook.com/basilica.ro/,https://www.youtube.com/channel/UCh6MZX0N9faHq70F4kBDBeA,,,Questionable,,,,,,,,,,,,,,,,,,,
Cunoaste Lumea,RO,http://www.cunoastelumea.ro/,https://www.facebook.com/CunoasteLumearo-1576373705944579/,N/A,,,Questionable,,,,,,,,,,,,,,,,,,,
Prodocens Media,RO,,,https://www.youtube.com/channel/UCw2tQuijs2ZDJ78zMI7BdxA,,,Questionable,,,,,,,,,,,,,,,,,,,
Secretele Omenirii,RO,,,https://www.youtube.com/user/InternetEventsToday,,,Questionable,,,,,,,,,,,,,,,,,,,
Misterele Istoriei,RO,,,https://www.youtube.com/user/InternetEventsToday,,,Questionable,,,,,,,,,,,,,,,,,,,
6 TV,RO,,,https://www.youtube.com/channel/UCWtYfI4WDxjjOmepETLkO2Q,,,Questionable,,,,,,,,,,,,,,,,,,,
Metin Cerchez,RO,,,https://www.youtube.com/channel/UCnRE2CoYBMZeDKRrQ6jfK6Q,,,Questionable,,,,,,,,,,,,,,,,,,,
Trinitas TV,RO,https://www.trinitas.tv/,https://www.facebook.com/groups/1732489173656780/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Speranța TV,RO,https://www.sperantatv.ro/urmareste-live/,https://www.facebook.com/sperantatv.ro/,https://www.youtube.com/user/SperantaTVOficial,,,Political Bias,,,,,,,,,,,,,,,,,,,
Credo TV,RO,https://www.credo.tv/,https://www.facebook.com/credotv/,https://www.youtube.com/user/CredoTVonline,,,Political Bias,,,,,,,,,,,,,,,,,,,
Doxologia,RO,https://doxologia.ro/,https://www.facebook.com/doxologia.ro/,https://www.youtube.com/channel/UC48EI8pmHeFuZIn1O4qKu8A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Paul Rusu,RO,https://www.paularusu.ro/,https://www.facebook.com/paula.rusu.39,https://www.youtube.com/channel/UCi1QQVBFw6CcOFe2JenkEgA,,Individual,Political Bias,,,,,,,,,,,,,,,,,,,
Olivia Steer,RO,http://oliviasteer.ro/,https://www.facebook.com/oliviasteer,N/A,,Individual,Political Bias,,,,,,,,,,,,,,,,,,,
Coalitia pentru Familie,RO,N/A,https://www.facebook.com/coalitiapentrufamilie/,https://www.youtube.com/channel/UCts8mn2aM5e059gKf8A2vIQ,,,Political Bias,,,,,,,,,,,,,,,,,,,
Cuvantul Orthodox,RO,http://www.cuvantul-ortodox.ro/,https://www.facebook.com/groups/cuvantortodox/,https://www.youtube.com/channel/UCs5qIdf8h0stQ5M3JV2gboQ,,,Political Bias,,,,,,,,,,,,,,,,,,,
Dana Budeanu,RO,https://substantial.ro/,https://www.facebook.com/dana.budeanu.79,https://www.youtube.com/channel/UC1I306_R3G3ZyEFNFAe-qkg,,Individual,Political Bias,,,,,,,,,,,,,,,,,,,
Asociatia Accept,RO,https://www.acceptromania.ro/,https://www.facebook.com/asociatia.accept/,https://www.youtube.com/user/AsociatiaACCEPT,,,Political Bias,,,,,,,,,,,,,,,,,,,
Pro Vaccin,RO,https://provaccin.wordpress.com/,N/A,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Pro Imunizare,RO,https://www.proimunizare.ro/,https://www.facebook.com/stopgripa/,https://www.youtube.com/channel/UCpmJFvk56C7ncdoSmM3SRUQ,,,Political Bias,,,,,,,,,,,,,,,,,,,
Ion Coja,RO,https://ioncoja.ro,https://www.facebook.com/ioncoja.ro/,https://www.youtube.com/channel/UCvNrNKVMbbYhtXkl8P3RCuQ,,Individual,Political Bias,,,,,,,,,,,,,,,,,,,
Cunoaste Lumea,RO,http://www.cunoastelumea.ro/,https://www.facebook.com/CunoasteLumearo-1576373705944579/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Resurse Crestine,RO,https://www.resursecrestine.ro/,https://www.facebook.com/resursecrestine/,https://www.youtube.com/user/danaindia,,,Political Bias,,,,,,,,,,,,,,,,,,,
Fiti Oameni!,RO,https://www.fiti-oameni.ro/,https://www.facebook.com/FitiOameni/,https://www.youtube.com/user/fitioameniro,,,Political Bias,,,,,,,,,,,,,,,,,,,
Intercer,RO,https://intercer.net/,https://www.facebook.com/intercer.romania/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Misiune,RO,https://www.misiune.ro/,N/A,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Tanar Crestin,RO,http://www.tanarcrestin.net/,N/A,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Radio Agape,RO,https://radioagape.ro/,https://www.facebook.com/RadioAgapeRomania/,https://www.youtube.com/channel/UCIq9G8WohYafzpXeM27L3aw,,,Political Bias,,,,,,,,,,,,,,,,,,,
Parteneri in misiune,RO,https://www.pimromania.ro/,https://www.facebook.com/Parteneriinmisiune/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Agapia,RO,https://agapianus.wordpress.com/,https://www.facebook.com/Agapia-126373424094910/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Crestin Total,RO,https://crestintotal.ro/,https://www.facebook.com/crestintotal.ro/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Ramanian Times,RO,https://www.romaniantimes.com,https://www.facebook.com/romaniantimesus/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
ROST,RO,https://www.rostonline.ro/,https://www.facebook.com/RevistaRost,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Pro Vita,RO,http://www.provitabucuresti.ro/,https://www.facebook.com/provitabucuresti/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Identitatea Romaneasca,RO,https://identitatea.ro/,https://www.facebook.com/identitatea/,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Protectie Electromagnetica,RO,https://protectie-electromagnetica.ro/cmo/,N/A,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Vocea Consumatorilor,RO,https://www.apc-romania.ro/ro/home.html,N/A,N/A,,,Political Bias,,,,,,,,,,,,,,,,,,,
Mihai Alexandru Hash,RO,,https://www.facebook.com/MihaiAhash/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ministerul Afacerilor Interne,RO,,https://www.facebook.com/ministeruldeinterne/,,,,Quality,,,,,,,,,,,,,,,,,,,
Times New Roman,RO,,https://www.facebook.com/timesnewroman.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Tudor Chirila,RO,,https://www.facebook.com/TudorChirilaOfficial/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ministerul Apararii,RO,,https://www.facebook.com/mapn.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Marian Godină,RO,,https://www.facebook.com/godinamarian/,,,,Quality,,,,,,,,,,,,,,,,,,,
Dragos Patraru,RO,,https://www.facebook.com/StareaNatiei/,,,,Quality,,,,,,,,,,,,,,,,,,,
tetelejurnal,RO,,https://www.facebook.com/tetelejurnal/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cristian Tudor Popescu,RO,,https://www.facebook.com/CTPopescu,,,,Quality,,,,,,,,,,,,,,,,,,,
Siegfried Muresan,RO,,https://www.facebook.com/SiegfriedMEP/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cațavencii,RO,,https://www.facebook.com/catavencii/,,,,Quality,,,,,,,,,,,,,,,,,,,
Raed Arafat,RO,,https://www.facebook.com/DrRaedArafat/,,,,Quality,,,,,,,,,,,,,,,,,,,
Catalin Tolontan,RO,,https://www.facebook.com/catalintolontan/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ministerul Sănătății,RO,,https://www.facebook.com/MinisterulSanatatii/,,,,Quality,,,,,,,,,,,,,,,,,,,
Radu Tudor,RO,,https://www.facebook.com/PunctuldeIntalnire/,,,,Quality,,,,,,,,,,,,,,,,,,,
Mihai Sora,RO,,https://www.facebook.com/mihaisora/,,,,Quality,,,,,,,,,,,,,,,,,,,
Nicușor Dan,RO,,https://www.facebook.com/NicusorDan.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Rise Project,RO,,https://www.facebook.com/RiseProjectRo/,,,,Quality,,,,,,,,,,,,,,,,,,,
Monica Macovei,RO,,https://www.facebook.com/MonicaMacoveiUE/,,,,Quality,,,,,,,,,,,,,,,,,,,
Adrian Năstase,RO,,https://www.facebook.com/Nastase.Adrian/,,,,Quality,,,,,,,,,,,,,,,,,,,
Mircea Geoană,RO,,https://www.facebook.com/mircea.geoana/,,,,Quality,,,,,,,,,,,,,,,,,,,
Moise Guran,RO,,https://www.facebook.com/Moise-Blog-511769435576569/,,,,Quality,,,,,,,,,,,,,,,,,,,
Mihai Chirică,RO,,https://www.facebook.com/Mihai.Chirica.Iasi/,,,,Quality,,,,,,,,,,,,,,,,,,,
Remus Cernea,RO,,https://www.facebook.com/remus.cernea/,,,,Quality,,,,,,,,,,,,,,,,,,,
Traian Berbeceanu,RO,,https://www.facebook.com/BerbeceanuTraian/,,,,Quality,,,,,,,,,,,,,,,,,,,
